,city,township,province,longitude,latitude,population,total_devices
0,Slochteren,Slochteren,Groningen,6.80547,53.22078,2055,52
1,Boskoop,Alphen aan den Rijn,Zuid-Holland,4.65556,52.075,15090,405
2,Den Helder,Den Helder,Noord-Holland,4.75933,52.95988,59569,3041
3,Ellecom,Rheden,Gelderland,6.0875,52.0325,1015,29
4,Ritthem,Vlissingen,Zeeland,3.62639,51.4525,370,19
5,Dieteren,Echt-Susteren,Limburg,5.84583,51.07667,745,346
6,Weerselo,Dinkelland,Overijssel,6.85694,52.35167,700,91
7,Zelhem,Bronckhorst,Gelderland,6.34861,52.00667,5760,467
8,Spankeren,Rheden,Gelderland,6.1125,52.05833,775,33
9,Weert,Weert,Limburg,5.70694,51.25167,48662,6089
10,Aagtdorp,Bergen (NH),Noord-Holland,4.70417,52.69,570,209
11,Elp,Midden-Drenthe,Drenthe,6.64583,52.88167,330,8
12,Wanssum,Venray,Limburg,6.07639,51.53583,1905,63
13,Groede,Sluis,Zeeland,3.50694,51.37833,720,29
14,Molenhoek,'s-Hertogenbosch,Noord-Brabant,5.36809,51.71113,0,7
15,Ingen,Buren,Gelderland,5.48472,51.95917,1080,206
16,Margraten,Eijsden-Margraten,Limburg,5.82083,50.82083,3320,231
17,Hulshorst,Nunspeet,Gelderland,5.73194,52.36333,775,70
18,Hellevoetsluis,Hellevoetsluis,Zuid-Holland,4.13333,51.83333,21927,5834
19,Uitgeest,Uitgeest,Noord-Holland,4.70972,52.52917,11794,2162
20,Heeze,Heeze-Leende,Noord-Brabant,5.57145,51.3828,15886,2857
21,Hellendoorn,Hellendoorn,Overijssel,6.45139,52.38833,660,127
22,Zeist,Zeist,Utrecht,5.23333,52.09,60949,3177
23,Enschede,Enschede,Overijssel,6.8376,52.2218,153655,43321
24,Duizel,Eersel,Noord-Brabant,5.29722,51.36833,1460,25
25,Daarle,Hellendoorn,Overijssel,6.5375,52.43417,855,31
26,Oploo,Sint Anthonis,Noord-Brabant,5.87361,51.60833,3340,22
27,Voorburg,Leidschendam-Voorburg,Zuid-Holland,4.35972,52.07417,38000,3901
28,Ouderkerk aan de Amstel,Ouder-Amstel,Noord-Holland,4.90746,52.29504,7955,188
29,Schiermonnikoog,Schiermonnikoog,Friesland (Fryslân),6.15209,53.48025,0,237
30,Thesinge,Ten Boer,Groningen,6.65139,53.26833,440,5
31,Oosterdijk,Enkhuizen,Noord-Holland,5.26528,52.745,100,129
32,Oosteinde,Aalsmeer,Noord-Holland,4.79583,52.27917,155,54
33,Nes,Ameland,Friesland (Fryslân),5.774,53.44502,1080,28
34,Heerhugowaard,Heerhugowaard,Noord-Holland,4.84862,52.67144,47580,6097
35,Rucphen,Rucphen,Noord-Brabant,4.55833,51.53167,22401,506
36,Heel,Maasgouw,Limburg,5.89444,51.17917,3980,159
37,Amstelveen,Amstelveen,Noord-Holland,4.8773,52.3095,79639,9929
38,Maasdam,Binnenmaas,Zuid-Holland,4.55556,51.78917,585,294
39,Amerongen,Utrechtse Heuvelrug,Utrecht,5.45972,52.0025,5085,1325
40,Obdam,Koggenland,Noord-Holland,4.90694,52.67583,5690,256
41,Amsterdam,Amsterdam,Noord-Holland,4.9041,52.371,741636,5567684
42,Bosschenhoofd,Halderberge,Noord-Brabant,4.54028,51.56083,1925,187
43,Onderdijk,Medemblik,Noord-Holland,5.1375,52.74333,1630,433
44,Vianen,Vianen,Utrecht,5.09167,51.9925,19967,895
45,Geffen,Maasdonk,Noord-Brabant,5.46389,51.74,3870,540
46,Ossendrecht,Woensdrecht,Noord-Brabant,4.32639,51.39417,3970,166
47,De Zandloper,Den Helder,Noord-Holland,4.71667,52.9,150,376
48,Waarland,Schagen,Noord-Holland,4.83194,52.72667,1970,78
49,The Hague,'s-Gravenhage,Zuid-Holland,4.318,52.078,474292,83372
50,Ospel,Nederweert,Limburg,5.78472,51.2975,2505,108
51,Earnewâld,Tietjerksteradeel (Tytsjerksteradiel),Friesland (Fryslân),5.94609,53.13109,345,122
52,Putten,Putten,Gelderland,5.60694,52.25917,23168,1588
53,Elburg,Elburg,Gelderland,5.84306,52.4475,21844,684
54,Middelbeers,Oirschot,Noord-Brabant,5.25,51.46667,2715,55
55,Makkum,Súdwest-Fryslân,Friesland (Fryslân),5.40231,53.05458,3285,151
56,Wijnandsrade,Nuth,Limburg,5.88333,50.90583,1365,12
57,Barendrecht,Barendrecht,Zuid-Holland,4.53472,51.85667,38672,4989
58,Gasselte,Aa en Hunze,Drenthe,6.79444,52.97167,1495,22
59,'s-Hertogenbosch,'s-Hertogenbosch,Noord-Brabant,5.30417,51.69917,134520,31140
60,Middelstum,Loppersum,Groningen,6.64167,53.34667,2105,79
61,Hemrik,Opsterland,Friesland (Fryslân),6.13876,53.03163,490,2
