name,sev1,sev2,sev3,sev4,sev5,sev6,sev7,sev8,sev9,sev10
Stichting Deltares, 2.0,2.0,1.0,16.0,44.0,13.0,16.0,1.0,0.0,0.0
Stichting DUWO,1.0,16.0,13.0,75.0,135.0,31.0,39.0,3.0,4.0,4.0
Serverion BV,224.0,0.0,326.0,1790.0,3966.0,958.0,673.0,0.0,0.0,0.0
Ziggo Consumers,21.0,35.0,53.0,358.0,889.0,242.0,338.0,3.0,6.0,40.0
www.breedbanddelft.nl,60.0,116.0,178.0,1414.0,554.0,182.0,582.0,0.0,0.0,58.0
T-mobile Netherlands B.V.,0.0,2.0,7.0,27.0,72.0,19.0,21.0,1.0,2.0,1.0
Technische Universiteit Delft,47.0,67.0,65.0,731.0,1206.0,366.0,491.0,0.0,0.0,64.0
KPN B.V.,2.0,8.0,1.0,54.0,105.0,17.0,34.0,0.0,0.0,6.0
Operator Groep Delft B.V.,2.0,2.0,2.0,22.0,21.0,5.0,13.0,0.0,2.0,0.0
EK-Media B.V.,73.0,3.0,247.0,912.0,2639.0,699.0,484.0,0.0,0.0,0.0
Des Capital B.V.,49.0,0.0,46.0,344.0,565.0,131.0,88.0,0.0,0.0,0.0
www.brightsight.com,0.0,0.0,1.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0
OPENFIBER B.V.,0.0,1.0,6.0,96.0,242.0,84.0,54.0,0.0,0.0,0.0
www.yesdelft.nl,0.0,0.0,7.0,11.0,37.0,10.0,17.0,0.0,0.0,0.0
Monsterseweg 36,8.0,9.0,19.0,121.0,239.0,70.0,106.0,1.0,5.0,17.0
Dutch organization for applied scientific research,2.0,0.0,18.0,70.0,142.0,35.0,27.0,0.0,0.0,0.0
www.topdesk.nl,2.0,0.0,1.0,12.0,14.0,3.0,5.0,0.0,0.0,0.0
XS4ALL Internet BV,1.0,1.0,5.0,21.0,65.0,20.0,25.0,0.0,1.0,3.0
Camelot Eindhoven Location Campus Delft,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
Delft University of Technology Network,0.0,3.0,5.0,19.0,61.0,18.0,19.0,1.0,1.0,2.0
Adviesgroep Strategisch Gebouw Beheer B.V.,0.0,0.0,2.0,3.0,11.0,3.0,4.0,0.0,0.0,0.0
IHE Delft,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Global-e BV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KUWAIT PETROLEUM (BELGIUM) NV,0.0,0.0,1.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0
T-Mobile Thuis BV,0.0,0.0,0.0,3.0,16.0,4.0,5.0,1.0,0.0,0.0
Radex Innovation Centre,1.0,2.0,4.0,10.0,23.0,6.0,11.0,0.0,1.0,0.0
SLTN,0.0,0.0,2.0,4.0,11.0,3.0,6.0,0.0,0.0,0.0
West IT Solutions,0.0,0.0,2.0,3.0,11.0,3.0,4.0,0.0,0.0,0.0
www.saffierhaaglanden.nl,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
S&T CORP,0.0,0.0,1.0,2.0,9.0,3.0,5.0,0.0,0.0,0.0
